City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Hilo,US,77.0,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
6,Yulara,AU,84.2,scattered clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
7,Carnarvon,AU,78.8,clear sky,-24.87,113.63,Hospitality Carnarvon
19,Bossangoa,CF,76.5,broken clouds,6.49,17.46,LA PERLE DE BOSTON
23,Bathsheba,BB,80.6,shower rain,13.22,-59.52,Atlantis Hotel
27,Birao,CF,82.67,clear sky,10.28,22.79,
41,Kavieng,PG,81.14,overcast clouds,-2.57,150.8,Nusa Island Retreat
44,Brejo Santo,BR,78.8,clear sky,-7.49,-38.99,Hotel Flor de Lis
45,Kavaratti,IN,83.46,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
46,Labuhan,ID,84.07,moderate rain,-6.88,112.21,bador sepret
48,Rikitea,PF,75.22,overcast clouds,-23.12,-134.97,Pension Maro'i
54,Tabou,CI,78.08,light rain,4.42,-7.35,hotêl doufoulougou
57,Busselton,AU,90.0,clear sky,-33.65,115.33,Observatory Guest House
59,Atuona,PF,78.06,broken clouds,-9.8,-139.03,Villa Enata
65,Geraldton,AU,86.0,clear sky,-28.77,114.6,Broadwater Mariner Resort
66,Naze,JP,77.0,scattered clouds,28.37,129.48,奄美ポートタワーホテル
68,Cabedelo,BR,75.2,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
77,Sambava,MG,78.12,light rain,-14.27,50.17,Melrose
82,Goundam,ML,79.59,clear sky,16.41,-3.67,
83,Isabela,PH,80.6,broken clouds,6.71,121.97,Isawad Resort
84,Karratha,AU,89.6,scattered clouds,-20.74,116.85,ibis Styles Karratha
86,Hurghada,EG,78.8,clear sky,27.26,33.81,Sea Star Beau Rivage Hotel
88,Puerto Madero,MX,77.92,broken clouds,14.72,-92.42,Hotel La Central
89,Lorengau,PG,85.24,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
91,Kahului,US,80.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
93,Phalombe,MW,86.61,clear sky,-15.81,35.65,RIVONIA
96,Gambela,ET,82.0,broken clouds,8.25,34.58,Solomon Debebe Hotel
98,Bengkulu,ID,84.27,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
105,Cabo Rojo,PR,80.01,overcast clouds,18.09,-67.15,Hotel Perichi's
108,Iranduba,BR,77.0,light rain,-3.28,-60.19,Evolução Ecolodge
109,Butaritari,KI,82.49,clear sky,3.07,172.79,Isles Sunset Lodge
112,Tura,IN,87.3,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
118,Sal Rei,CV,77.0,clear sky,16.18,-22.92,Marine Club Beach Resort
123,Atambua,ID,84.6,light rain,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
125,Meulaboh,ID,85.96,overcast clouds,4.14,96.13,Kost Pria
132,Hithadhoo,MV,83.3,light rain,-0.6,73.08,Scoop Guest House
134,Fare,PF,80.22,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
140,Port-Gentil,GA,78.8,scattered clouds,-0.72,8.78,Fengshui Residence
141,Alappuzha,IN,83.82,broken clouds,9.49,76.33,Panoramic Sea Resort
168,Ixtapa,MX,78.01,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
187,Kisangani,CD,79.21,overcast clouds,0.52,25.2,Grand Ramela Hotel
188,Afua,BR,78.44,overcast clouds,-0.16,-50.39,Hotel Dias
192,Isangel,VU,80.6,broken clouds,-19.55,169.27,Volcano Sea View Tree House
197,Ati,TD,89.13,clear sky,13.22,18.34,
198,Panlaitan,PH,84.7,overcast clouds,12.12,119.85,Panlaitan Cetro Beach
203,Miramar,US,80.6,few clouds,25.99,-80.23,Stadium Hotel
205,Nanakuli,US,80.6,broken clouds,21.39,-158.15,Camp Pālehua
206,George Town,MY,89.6,few clouds,5.41,100.34,Cititel Penang
208,Mach,PK,75.61,clear sky,29.86,67.33,
213,Elizabeth City,US,77.0,overcast clouds,36.29,-76.25,Hampton Inn Elizabeth City
214,Bambanglipuro,ID,85.55,overcast clouds,-7.95,110.28,Puri Brata
216,Matara,LK,88.2,clear sky,5.95,80.54,Amaloh Boutique Resort
219,Tessalit,ML,75.38,clear sky,20.2,1.01,
220,Gushikawa,JP,77.0,clear sky,26.35,127.87,Kirari Guest House
221,Tenenkou,ML,77.0,clear sky,14.46,-4.92,
223,Itarema,BR,77.0,overcast clouds,-2.92,-39.92,Windvillage
224,Dingle,PH,80.04,overcast clouds,11.0,122.67,Camp Pasica
225,Tual,ID,83.88,clear sky,-5.67,132.75,Grand Vilia Hotel
226,Faanui,PF,79.48,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
232,Gat,IL,77.0,overcast clouds,31.61,34.76,OlusHome
234,Mangrol,IN,86.65,clear sky,21.12,70.12,Hotel The Royal Honours
242,Victoria,HK,80.01,overcast clouds,22.29,114.16,Mini Hotel Central
247,Sinnamary,GF,80.38,few clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
249,Zhuhai,CN,86.0,few clouds,22.28,113.57,珠海粤财假日酒店
251,Mucurapo,TT,78.8,light rain,10.67,-61.53,Courtyard by Marriott Port of Spain
253,Acarau,BR,76.59,overcast clouds,-2.89,-40.12,castelo pizzaria
255,Turbat,PK,89.38,clear sky,26.0,63.04,Mubashar Quarters
256,Mareeba,AU,86.0,clear sky,-17.0,145.43,Trinity Plains Tourist Park
257,Mogadishu,SO,82.15,overcast clouds,2.04,45.34,Hotel Juba
259,Damphu,BT,84.85,clear sky,27.07,90.11,
261,Georgetown,MY,89.6,few clouds,5.41,100.34,Cititel Penang
263,Saiha,IN,90.3,broken clouds,22.48,92.97,"Circuit House, Siaha"
264,Petrolina,BR,77.0,few clouds,-9.4,-40.5,JB Hotel
269,Bubaque,GW,83.03,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
279,Jimeta,NG,81.0,clear sky,9.28,12.47,Yola International Hotel
280,Darlawn,IN,90.46,overcast clouds,24.02,92.9,BNRGSK BUILDING
281,Honiara,SB,82.4,broken clouds,-9.43,159.95,Heritage Park Hotel
