City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kholodnyy,RU,62.72,147.95,12.58,94,100,2.82,light snow
1,Chuy,UY,-33.7,-53.46,52.9,82,100,5.93,overcast clouds
2,Pisco,PE,-13.7,-76.22,62.01,87,75,13.87,broken clouds
3,Hilo,US,19.73,-155.09,77.0,88,90,1.79,overcast clouds
4,Grand Gaube,MU,-20.01,57.66,73.99,52,0,15.01,light rain
5,Komsomolskiy,UZ,40.43,71.72,53.6,27,0,4.7,clear sky
6,Yulara,AU,-25.24,130.99,84.2,7,37,12.75,scattered clouds
7,Carnarvon,AU,-24.87,113.63,78.8,65,0,19.46,clear sky
8,Nanortalik,GL,60.14,-45.24,29.77,92,100,9.17,overcast clouds
9,Kodiak,US,57.79,-152.41,28.4,79,1,6.93,clear sky
10,Saldanha,ZA,-33.01,17.94,57.2,54,0,11.41,clear sky
11,Fez,MA,34.04,-5.0,53.6,66,0,3.89,clear sky
12,Laguna,US,38.42,-121.42,51.8,66,1,2.42,clear sky
13,Jumla,NP,29.27,82.18,68.76,21,0,6.62,clear sky
14,Ushuaia,AR,-54.8,-68.3,42.8,87,90,6.93,light intensity drizzle
15,Yellowknife,CA,62.46,-114.35,14.0,94,100,2.21,overcast clouds
16,Kaeo,NZ,-35.1,173.78,64.0,80,100,7.0,overcast clouds
17,Castro,BR,-24.79,-50.01,58.98,96,100,7.38,light rain
18,Kapaa,US,22.08,-159.32,71.6,78,1,9.17,clear sky
19,Bossangoa,CF,6.49,17.46,76.5,82,61,4.07,broken clouds
20,Marsa Matruh,EG,31.35,27.25,66.2,72,40,8.05,scattered clouds
21,Harboore,DK,56.62,8.18,48.0,96,100,16.35,light rain
22,Tasiilaq,GL,65.61,-37.64,33.8,86,100,9.17,snow
23,Bathsheba,BB,13.22,-59.52,80.6,83,75,20.8,shower rain
24,Umm Lajj,SA,25.02,37.27,91.71,25,0,9.89,clear sky
25,Freeport,US,40.66,-73.58,46.99,87,90,14.99,light rain
26,Lagoa,PT,39.05,-27.98,67.17,86,1,13.11,clear sky
27,Birao,CF,10.28,22.79,82.67,47,0,4.18,clear sky
28,Jamestown,US,42.1,-79.24,42.01,93,90,11.41,overcast clouds
29,La Ronge,CA,55.1,-105.28,19.36,95,60,4.99,broken clouds
30,Xacmaz,AZ,41.46,48.81,69.94,55,0,6.02,clear sky
31,Nikolskoye,RU,59.7,30.79,48.99,93,90,6.71,mist
32,Husavik,IS,66.04,-17.34,44.6,70,75,5.82,broken clouds
33,Ponta Do Sol,PT,32.67,-17.1,68.0,72,20,11.41,few clouds
34,Olafsvik,IS,64.89,-23.71,41.25,88,100,17.18,moderate rain
35,Cherskiy,RU,68.75,161.3,5.32,92,100,3.02,overcast clouds
36,Tiksi,RU,71.69,128.87,10.83,96,99,5.19,overcast clouds
37,Bluff,NZ,-46.6,168.33,57.99,94,100,1.01,light rain
38,Wum,CM,6.38,10.07,69.55,84,25,1.54,scattered clouds
39,Port Elizabeth,ZA,-33.92,25.57,60.8,67,75,11.41,broken clouds
40,Touros,BR,-5.2,-35.46,71.6,94,40,4.7,scattered clouds
41,Kavieng,PG,-2.57,150.8,81.14,74,100,5.28,overcast clouds
42,Talnakh,RU,69.49,88.4,4.12,87,85,10.33,overcast clouds
43,Abrau-Dyurso,RU,44.69,37.59,64.4,77,75,6.71,broken clouds
44,Brejo Santo,BR,-7.49,-38.99,78.8,65,0,0.87,clear sky
45,Kavaratti,IN,10.57,72.64,83.46,64,0,7.02,clear sky
46,Labuhan,ID,-6.88,112.21,84.07,71,100,12.46,moderate rain
47,Mataura,NZ,-46.19,168.86,57.99,94,100,1.01,overcast clouds
48,Rikitea,PF,-23.12,-134.97,75.22,73,100,5.21,overcast clouds
49,Pochutla,MX,15.74,-96.47,73.0,93,100,3.85,light rain
50,Coos Bay,US,43.37,-124.22,51.8,100,90,4.7,overcast clouds
51,Punta Arenas,CL,-53.15,-70.92,46.4,75,75,24.16,broken clouds
52,Arraial Do Cabo,BR,-22.97,-42.03,73.81,94,100,15.59,light rain
53,Flinders,AU,-34.58,150.86,66.99,78,100,4.32,overcast clouds
54,Tabou,CI,4.42,-7.35,78.08,87,100,5.37,light rain
55,Sembe,CG,1.65,14.58,72.45,88,79,0.6,broken clouds
56,Bredasdorp,ZA,-34.53,20.04,60.8,44,4,9.17,clear sky
57,Busselton,AU,-33.65,115.33,90.0,19,0,5.03,clear sky
58,Palmer,US,42.16,-72.33,39.99,93,90,13.87,overcast clouds
59,Atuona,PF,-9.8,-139.03,78.06,70,74,13.4,broken clouds
60,Qaanaaq,GL,77.48,-69.36,7.16,76,100,7.38,overcast clouds
61,Severo-Kurilsk,RU,50.68,156.12,43.07,83,55,17.11,broken clouds
62,Dali,CN,25.7,100.18,68.38,71,91,3.76,overcast clouds
63,Albany,US,42.6,-73.97,39.0,89,100,11.07,light rain
64,West Wendover,US,40.74,-114.07,33.8,50,1,0.07,clear sky
65,Geraldton,AU,-28.77,114.6,86.0,42,0,14.99,clear sky
66,Naze,JP,28.37,129.48,77.0,47,40,11.41,scattered clouds
67,Batagay-Alyta,RU,67.8,130.41,4.03,93,100,2.13,overcast clouds
68,Cabedelo,BR,-6.98,-34.83,75.2,88,40,2.24,scattered clouds
69,Thompson,CA,55.74,-97.86,16.84,95,41,7.85,scattered clouds
70,Kaitangata,NZ,-46.28,169.85,60.01,88,100,1.99,overcast clouds
71,Moose Factory,CA,51.26,-80.61,19.29,86,0,4.45,clear sky
72,Sechura,PE,-5.56,-80.82,63.57,85,100,6.46,overcast clouds
73,Watsa,CD,3.04,29.54,64.72,100,100,1.01,moderate rain
74,Yerbogachen,RU,61.28,108.01,16.68,93,100,4.79,overcast clouds
75,Mount Isa,AU,-20.73,139.5,98.6,7,0,11.41,clear sky
76,Bambous Virieux,MU,-20.34,57.76,73.99,52,0,15.01,light rain
77,Sambava,MG,-14.27,50.17,78.12,72,8,17.6,light rain
78,Port Alfred,ZA,-33.59,26.89,63.28,58,100,13.31,overcast clouds
79,Mitchell,US,43.71,-98.03,35.6,69,1,11.41,clear sky
80,Guastalla,IT,44.91,10.66,50.0,100,0,2.24,clear sky
81,Cabo San Lucas,MX,22.89,-109.91,69.01,75,71,1.01,broken clouds
82,Goundam,ML,16.41,-3.67,79.59,16,2,9.26,clear sky
83,Isabela,PH,6.71,121.97,80.6,88,75,2.24,broken clouds
84,Karratha,AU,-20.74,116.85,89.6,39,38,19.42,scattered clouds
85,Puerto Ayora,EC,-0.74,-90.35,68.0,95,99,7.0,overcast clouds
86,Hurghada,EG,27.26,33.81,78.8,57,0,8.05,clear sky
87,Lovozero,RU,68.0,35.01,27.81,96,5,11.99,clear sky
88,Puerto Madero,MX,14.72,-92.42,77.92,80,82,4.05,broken clouds
89,Lorengau,PG,-2.02,147.27,85.24,67,29,6.11,scattered clouds
90,Ribeira Grande,PT,38.52,-28.7,68.04,86,85,15.3,overcast clouds
91,Kahului,US,20.89,-156.47,80.6,74,40,5.82,scattered clouds
92,Tuktoyaktuk,CA,69.45,-133.04,5.41,95,82,5.88,broken clouds
93,Phalombe,MW,-15.81,35.65,86.61,35,0,5.35,clear sky
94,Mahebourg,MU,-20.41,57.7,73.99,52,0,15.01,light rain
95,Prince George,CA,53.92,-122.75,35.01,98,100,3.56,overcast clouds
96,Gambela,ET,8.25,34.58,82.0,65,52,3.91,broken clouds
97,Miles City,US,46.41,-105.84,41.0,80,90,4.7,overcast clouds
98,Bengkulu,ID,-3.8,102.27,84.27,67,15,7.7,moderate rain
99,Minab,IR,27.15,57.08,91.4,21,0,4.7,clear sky
100,Benghazi,LY,32.12,20.07,71.38,63,49,10.92,scattered clouds
101,Ganzhou,CN,28.82,115.43,72.72,57,3,7.0,clear sky
102,Hasaki,JP,35.73,140.83,63.0,55,75,9.17,broken clouds
103,Khatanga,RU,71.97,102.5,-2.43,85,0,9.08,clear sky
104,East London,ZA,-33.02,27.91,60.8,67,20,12.75,few clouds
105,Cabo Rojo,PR,18.09,-67.15,80.01,90,100,10.85,overcast clouds
106,Sydney,AU,-33.87,151.21,68.0,68,75,12.75,broken clouds
107,Saint Anthony,US,45.02,-93.22,32.0,74,90,0.34,overcast clouds
108,Iranduba,BR,-3.28,-60.19,77.0,94,75,5.82,light rain
109,Butaritari,KI,3.07,172.79,82.49,78,2,12.46,clear sky
110,Ilulissat,GL,69.22,-51.1,17.6,67,95,6.93,overcast clouds
111,Aksu,CN,41.12,80.26,57.18,33,100,5.44,overcast clouds
112,Tura,IN,25.52,90.22,87.3,54,90,2.28,overcast clouds
113,Hermanus,ZA,-34.42,19.23,63.0,56,0,1.01,clear sky
114,Tavda,RU,58.04,65.27,36.81,87,23,6.67,few clouds
115,Narsaq,GL,60.92,-46.05,28.4,86,93,5.82,overcast clouds
116,Barrow,US,71.29,-156.79,24.8,79,90,18.34,mist
117,Chokurdakh,RU,70.63,147.92,-3.8,93,100,1.72,overcast clouds
